Date,League,Home,Away,Odds_H,Odds_A,Odds_H_X,Odds_X_A,Pred_H,Pred_A,Winning_team,Winning_prob,Winning_bet,Winning_bet_final,bet_type,bet_type_order,date,team,opponent,result,Winning_team_actual,bet_right,bet_right_win_draw
2023-12-23,PREMIER LEAGUE ,Fulham,Burnley,1.7,5.05,1.18,2.27,0.85,0.15,Fulham,0.85,1.7,1.7,safest_bet,3,2023-12-23,Fulham,Burnley,L,Burnley,0,0
2023-12-23,SERIE A ,Internazionale,Lecce,1.21,14.5,1.09,4.5,0.89,0.11,Internazionale,0.89,1.21,1.21,safest_bet,3,2023-12-23,Internazionale,Lecce,W,Internazionale,1,1
2023-12-23,LALIGA ,Atletico Madrid,Sevilla,1.45,7.0,1.1,2.75,0.83,0.17,Atletico Madrid,0.83,1.45,1.45,safest_bet,3,2023-12-23,Atletico Madrid,Sevilla,W,Atletico Madrid,1,1
2023-12-26,JUPILER PRO LEAGUE ,Kortrijk,Gent,8.0,1.36,3.25,1.07,0.33,0.67,Gent,0.67,1.36,1.36,safest_bet,3,2023-12-26,Kortrijk,Gent,L,Gent,1,1
2023-12-26,PREMIER LEAGUE ,Newcastle United,Nottingham Forest,1.48,7.1,1.1,2.73,0.89,0.11,Newcastle United,0.89,1.48,1.48,safest_bet,3,2023-12-26,Newcastle United,Nottingham Forest,L,Nottingham Forest,0,0
2023-12-26,PREMIER LEAGUE ,Burnley,Liverpool,8.2,1.38,3.1,1.08,0.33,0.67,Liverpool,0.67,1.38,1.38,safest_bet,3,2023-12-26,Burnley,Liverpool,L,Liverpool,1,1
2023-12-27,PREMIER LEAGUE ,Everton,Manchester City,5.9,1.58,2.49,1.14,0.34,0.66,Manchester City,0.66,1.58,1.58,safest_bet,3,2023-12-27,Everton,Manchester City,L,Manchester City,1,1
2023-12-28,PREMIER LEAGUE ,Arsenal,West Ham United,1.33,9.4,1.06,3.4,0.89,0.11,Arsenal,0.89,1.33,1.33,safest_bet,3,2023-12-28,Arsenal,West Ham United,L,West Ham United,0,0
2023-12-29,SERIE A ,Genoa,Internazionale,5.85,1.6,2.4,1.13,0.31,0.69,Internazionale,0.69,1.6,1.13,safest_bet,3,2023-12-29,Genoa,Internazionale,D,Draw,1,1
2023-12-29,SERIE A ,Lazio,Frosinone,1.7,4.85,1.17,2.2,0.89,0.11,Lazio,0.89,1.7,1.7,safest_bet,3,2023-12-29,Lazio,Frosinone,W,Lazio,1,1
2023-12-30,PREMIER LEAGUE ,Aston Villa,Burnley,1.39,8.1,1.08,3.1,0.82,0.18,Aston Villa,0.82,1.39,1.39,safest_bet,3,2023-12-30,Aston Villa,Burnley,W,Aston Villa,1,1
2023-12-30,SERIE A ,Atalanta,Lecce,1.41,7.8,1.07,2.95,0.83,0.17,Atalanta,0.83,1.41,1.41,safest_bet,3,2023-12-30,Atalanta,Lecce,W,Atalanta,1,1
