Date,League,Home,Away,Odds_H,Odds_A,Odds_H_X,Odds_X_A,Pred_H,Pred_A,Winning_team,Winning_prob,Winning_bet,Winning_bet_final,bet_type,bet_type_order,date,team,opponent,result,Winning_team_actual,bet_right,bet_right_win_draw
2023-10-01,EREDIVISIE ,AZ Alkmaar,Fortuna Sittard,1.25,10.5,1.17,1.17,0.89,0.11,AZ Alkmaar,0.89,1.25,1.25,safest_bet,3,2023-10-01,AZ Alkmaar,Fortuna Sittard,W,AZ Alkmaar,1,1
2023-11-04,LIGA PORTUGAL ,Chaves,Benfica,10.0,1.25,1.17,1.17,0.3,0.7,Benfica,0.7,1.25,1.25,safest_bet,3,2023-11-04,Chaves,Benfica,L,Benfica,1,1
2023-11-04,LIGA PORTUGAL ,Braga,Portimonense,1.25,11.0,1.17,1.17,0.91,0.09,Braga,0.91,1.25,1.25,safest_bet,3,2023-11-04,Braga,Portimonense,W,Braga,1,1
2023-11-03,LIGUE 1 ,Paris Saint Germain,Montpellier,1.26,9.6,1.17,1.17,0.8,0.2,Paris Saint Germain,0.8,1.26,1.26,safest_bet,3,2023-11-03,Paris Saint Germain,Montpellier,W,Paris Saint Germain,1,1
2023-09-28,EREDIVISIE ,AZ Alkmaar,Heracles Almelo,1.27,10.5,1.17,1.17,0.87,0.13,AZ Alkmaar,0.87,1.27,1.27,safest_bet,3,2023-09-28,AZ Alkmaar,Heracles Almelo,D,Draw,0,1
2023-10-29,PREMIER LEAGUE ,Liverpool,Nottingham Forest,1.27,10.5,1.17,1.17,0.89,0.11,Liverpool,0.89,1.27,1.27,safest_bet,3,2023-10-29,Liverpool,Nottingham Forest,W,Liverpool,1,1
2023-09-24,JUPILER PRO LEAGUE ,Gent,Eupen,1.28,10.0,1.17,1.17,0.86,0.14,Gent,0.86,1.28,1.28,safest_bet,3,2023-09-24,Gent,Eupen,W,Gent,1,1
2023-10-01,LALIGA ,Atletico Madrid,Cadiz,1.3,9.5,1.17,1.17,0.92,0.08,Atletico Madrid,0.92,1.3,1.3,safest_bet,3,2023-10-01,Atletico Madrid,Cadiz,W,Atletico Madrid,1,1
2023-11-05,LALIGA ,Real Madrid,Rayo Vallecano,1.3,10.0,1.17,1.17,0.8,0.2,Real Madrid,0.8,1.3,1.3,safest_bet,3,2023-11-05,Real Madrid,Rayo Vallecano,D,Draw,0,1
2023-09-30,PREMIER LEAGUE ,Newcastle United,Burnley,1.31,10.5,1.17,1.17,0.92,0.08,Newcastle United,0.92,1.31,1.31,safest_bet,3,2023-09-30,Newcastle United,Burnley,W,Newcastle United,1,1
